Credito,DiffPct,DiffPts,Estrategia,Expiracion,Hora,Lado,Moneyness,P/L,Simbolo,Strikes,precio_actual,score_30min,strikes_GEX,strikes_OI,strikes_Volumen,tendencia_30min,tendencia_corta,total_neg,total_pos,Movimiento_Esperado,Punto_Gravedad,Gamma_Flip,Date
210.0,0.04,2.13,VERTICAL,02/04/2025,12:05:42,CALL,OTM,210.0,SPX,6040/6045,6035.18,-0.07,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6030.0, 6060.0]",DOWN,UP,0,4,20.45,6033.52,6020.0,2025-02-04
245.0,-0.05,-2.87,VERTICAL,02/04/2025,12:10:47,CALL,ITM P,-42.0,SPX,6035/6040,6033.62,-0.04,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6060.0]",DOWN,FLAT,14,10,20.28,6033.25,6015.0,2025-02-04
205.0,0.04,2.13,VERTICAL,02/04/2025,12:15:41,CALL,OTM,205.0,SPX,6040/6045,6034.75,-0.02,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6030.0, 6060.0]",DOWN,FLAT,23,19,19.84,6033.31,6015.0,2025-02-04
145.0,-0.38,-22.87,VERTICAL,02/04/2025,12:20:43,PUT,OTM,145.0,SPX,6015/6010,6023.59,0.01,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,41,20,22.94,6032.47,6005.0,2025-02-04
135.0,-0.38,-22.87,VERTICAL,02/04/2025,12:25:47,PUT,OTM,135.0,SPX,6015/6010,6024.73,0.03,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,61,20,21.83,6031.68,6005.0,2025-02-04
140.0,-0.46,-27.87,VERTICAL,02/04/2025,12:30:50,PUT,OTM,140.0,SPX,6010/6005,6018.68,0.05,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,81,20,22.16,6030.86,6000.0,2025-02-04
150.0,-0.46,-27.87,VERTICAL,02/04/2025,12:35:43,PUT,OTM,150.0,SPX,6010/6005,6017.94,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,101,20,21.94,6029.84,6000.0,2025-02-04
135.0,-0.46,-27.87,VERTICAL,02/04/2025,12:40:47,PUT,OTM,135.0,SPX,6010/6005,6020.06,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,121,20,21.22,6029.3,6005.0,2025-02-04
145.0,-0.38,-22.87,VERTICAL,02/04/2025,12:45:39,PUT,OTM,145.0,SPX,6015/6010,6022.67,0.06,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,141,20,20.12,6028.99,6005.0,2025-02-04
140.0,-0.38,-22.87,VERTICAL,02/04/2025,12:50:44,PUT,OTM,140.0,SPX,6015/6010,6024.0,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,161,20,19.95,6028.76,6005.0,2025-02-04
130.0,-0.38,-22.87,VERTICAL,02/04/2025,12:55:49,PUT,OTM,130.0,SPX,6015/6010,6024.93,0.06,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,178,22,19.42,6028.68,6005.0,2025-02-04
165.0,-0.21,-12.87,VERTICAL,02/04/2025,13:00:45,PUT,OTM,165.0,SPX,6025/6020,6029.15,0.06,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,186,33,17.74,6028.82,6010.0,2025-02-04
150.0,-0.38,-22.87,VERTICAL,02/04/2025,13:05:49,PUT,OTM,150.0,SPX,6015/6010,6021.46,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,188,45,18.95,6028.85,6005.0,2025-02-04
165.0,-0.3,-17.87,VERTICAL,02/04/2025,13:10:45,PUT,OTM,165.0,SPX,6020/6015,6023.54,0.07,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,194,39,17.74,6028.69,6005.0,2025-02-04
170.0,-0.21,-12.87,VERTICAL,02/04/2025,13:15:49,PUT,OTM,170.0,SPX,6025/6020,6027.24,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,194,41,17.01,6028.71,6010.0,2025-02-04
175.0,-0.21,-12.87,VERTICAL,02/04/2025,13:20:40,PUT,OTM,175.0,SPX,6025/6020,6026.92,0.07,"[6030.0, 6035.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,176,60,16.8,6028.81,6010.0,2025-02-04
175.0,-0.13,-7.87,VERTICAL,02/04/2025,13:25:43,PUT,OTM,175.0,SPX,6030/6025,6031.78,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6000.0, 6030.0]",UP,FLAT,152,80,16.12,6028.98,6015.0,2025-02-04
190.0,-0.13,-7.87,VERTICAL,02/04/2025,13:30:47,PUT,OTM,190.0,SPX,6030/6025,6031.4,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6000.0, 6030.0]",UP,FLAT,132,100,15.59,6029.21,6015.0,2025-02-04
180.0,-0.13,-7.87,VERTICAL,02/04/2025,13:35:40,PUT,OTM,180.0,SPX,6030/6025,6031.6,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6000.0, 6030.0]",UP,FLAT,116,120,15.17,6029.41,6015.0,2025-02-04
150.0,-0.21,-12.87,VERTICAL,02/04/2025,13:40:43,PUT,OTM,150.0,SPX,6025/6020,6029.67,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,96,139,14.7,6029.53,6010.0,2025-02-04
195.0,-0.13,-7.87,VERTICAL,02/04/2025,13:45:47,PUT,OTM,195.0,SPX,6030/6025,6029.54,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6000.0, 6030.0]",UP,FLAT,76,156,14.18,6029.6,6010.0,2025-02-04
180.0,-0.13,-7.87,VERTICAL,02/04/2025,13:50:50,PUT,OTM,180.0,SPX,6030/6025,6031.36,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,56,174,13.65,6029.7,6015.0,2025-02-04
185.0,-0.13,-7.87,VERTICAL,02/04/2025,13:55:43,PUT,OTM,185.0,SPX,6030/6025,6029.86,0.08,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,35,189,13.49,6029.78,6010.0,2025-02-04
185.0,-0.21,-12.87,VERTICAL,02/04/2025,14:00:50,PUT,OTM,185.0,SPX,6025/6020,6025.85,0.07,"[6030.0, 6035.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,31,191,14.07,6029.78,6010.0,2025-02-04
165.0,-0.13,-7.87,VERTICAL,02/04/2025,14:05:42,PUT,OTM,165.0,SPX,6030/6025,6031.93,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,27,190,13.34,6029.86,6015.0,2025-02-04
170.0,-0.05,-2.87,VERTICAL,02/04/2025,14:10:47,PUT,OTM,170.0,SPX,6035/6030,6036.69,0.08,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,UP,7,210,13.02,6030.12,6020.0,2025-02-04
245.0,0.04,2.13,VERTICAL,02/04/2025,14:15:40,PUT,ITM P,32.0,SPX,6040/6035,6036.72,0.08,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,UP,2,215,12.71,6030.41,6020.0,2025-02-04
0.0,0.0,0.0,,02/04/2025,14:20:43,,,0.0,,,6040.29,0.08,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6030.0, 6040.0]",UP,UP,2,215,12.39,6030.72,6025.0,2025-02-04
215.0,0.04,2.13,VERTICAL,02/04/2025,14:25:48,PUT,ITM P,2.0,SPX,6040/6035,6038.12,0.08,"[6040.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,2,219,11.76,6031.06,6020.0,2025-02-04
190.0,0.04,2.13,VERTICAL,02/04/2025,14:30:46,PUT,ITM P,-23.0,SPX,6040/6035,6039.92,0.09,"[6040.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,2,219,11.44,6031.36,6020.0,2025-02-04
260.0,0.12,7.13,VERTICAL,02/04/2025,14:35:40,PUT,ITM,-240.0,SPX,6045/6040,6041.14,0.09,"[6040.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,2,215,11.18,6031.69,6025.0,2025-02-04
255.0,0.12,7.13,VERTICAL,02/04/2025,14:40:44,PUT,ITM,-245.0,SPX,6045/6040,6041.0,0.09,"[6040.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,2,216,11.13,6032.04,6025.0,2025-02-04
185.0,0.04,2.13,VERTICAL,02/04/2025,14:45:48,PUT,ITM P,-28.0,SPX,6040/6035,6040.35,0.09,"[6040.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,2,220,10.97,6032.28,6025.0,2025-02-04
230.0,0.04,2.13,VERTICAL,02/04/2025,14:50:39,PUT,ITM P,17.0,SPX,6040/6035,6037.45,0.09,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,2,225,11.34,6032.45,6020.0,2025-02-04
210.0,0.04,2.13,VERTICAL,02/04/2025,14:55:43,PUT,ITM P,-3.0,SPX,6040/6035,6038.41,0.09,"[6040.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,2,228,10.45,6032.6,6020.0,2025-02-04
190.0,-0.05,-2.87,VERTICAL,02/04/2025,15:00:47,PUT,OTM,190.0,SPX,6035/6030,6033.43,0.09,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,1,233,11.44,6032.71,6015.0,2025-02-04
185.0,-0.05,-2.87,VERTICAL,02/04/2025,15:05:39,PUT,OTM,185.0,SPX,6035/6030,6034.2,0.09,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,1,236,10.55,6032.72,6015.0,2025-02-04
215.0,0.04,2.13,VERTICAL,02/04/2025,15:10:43,PUT,ITM P,2.0,SPX,6040/6035,6037.65,0.09,"[6040.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,1,235,9.4,6032.81,6020.0,2025-02-04
220.0,0.04,2.13,VERTICAL,02/04/2025,15:15:49,PUT,ITM P,7.0,SPX,6040/6035,6038.32,0.09,"[6040.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,1,235,9.24,6032.94,6020.0,2025-02-04
305.0,0.04,2.13,VERTICAL,02/04/2025,15:20:41,PUT,ITM P,92.0,SPX,6040/6035,6033.94,0.09,"[6030.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,1,235,9.08,6033.01,6015.0,2025-02-04
330.0,0.04,2.13,VERTICAL,02/04/2025,15:25:44,PUT,ITM P,117.0,SPX,6040/6035,6032.52,0.09,"[6030.0, 6035.0]","[5950.0, 6030.0]","[6040.0, 6030.0]",UP,UP,1,224,8.87,6033.01,6015.0,2025-02-04
175.0,-0.6,-36.48,VERTICAL,02/05/2025,10:05:43,CALL,ITM,-325.0,SPX,6025/6030,6011.71,-0.01,"[6000.0, 5995.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,75,37,32.38,6022.82,5995.0,2025-02-05
170.0,-0.52,-31.48,VERTICAL,02/05/2025,10:10:44,CALL,ITM,-330.0,SPX,6030/6035,6016.02,-0.01,"[6000.0, 5995.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,95,37,31.22,6019.88,6000.0,2025-02-05
185.0,-0.52,-31.48,VERTICAL,02/05/2025,10:15:46,CALL,ITM,-315.0,SPX,6030/6035,6019.53,-0.02,"[6000.0, 5995.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,115,37,29.67,6018.57,6000.0,2025-02-05
175.0,-0.52,-31.48,VERTICAL,02/05/2025,10:20:49,CALL,ITM,-325.0,SPX,6030/6035,6017.78,-0.02,"[6000.0, 5995.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,135,37,28.98,6017.66,6000.0,2025-02-05
175.0,-0.44,-26.48,VERTICAL,02/05/2025,10:25:39,CALL,ITM,-325.0,SPX,6035/6040,6024.0,-0.03,"[6000.0, 6055.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,152,40,27.16,6017.59,6005.0,2025-02-05
180.0,-0.44,-26.48,VERTICAL,02/05/2025,10:30:41,CALL,ITM,-320.0,SPX,6035/6040,6024.41,-0.03,"[6000.0, 6055.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,157,51,26.53,6018.31,6005.0,2025-02-05
180.0,-0.44,-26.48,VERTICAL,02/05/2025,10:35:44,CALL,ITM,-320.0,SPX,6035/6040,6024.91,-0.03,"[6000.0, 6055.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,168,59,25.86,6018.65,6005.0,2025-02-05
200.0,-0.44,-26.48,VERTICAL,02/05/2025,10:40:45,CALL,ITM,-300.0,SPX,6035/6040,6028.52,-0.02,"[6000.0, 6055.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,168,59,24.28,6019.55,6010.0,2025-02-05
200.0,-0.44,-26.48,VERTICAL,02/05/2025,10:45:47,CALL,ITM,-300.0,SPX,6035/6040,6027.88,-0.02,"[6000.0, 6055.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,169,66,23.83,6020.36,6010.0,2025-02-05
200.0,-0.52,-31.48,VERTICAL,02/05/2025,10:50:50,CALL,ITM,-300.0,SPX,6030/6035,6023.05,-0.02,"[6000.0, 5995.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,165,70,24.45,6020.67,6005.0,2025-02-05
200.0,-0.44,-26.48,VERTICAL,02/05/2025,10:55:40,CALL,ITM,-300.0,SPX,6035/6040,6028.33,-0.03,"[6000.0, 6055.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,152,78,23.0,6020.9,6010.0,2025-02-05
220.0,-0.52,-31.48,VERTICAL,02/05/2025,11:00:44,CALL,ITM,-280.0,SPX,6030/6035,6025.66,-0.03,"[6000.0, 6055.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,142,88,23.44,6021.14,6010.0,2025-02-05
190.0,-0.44,-26.48,VERTICAL,02/05/2025,11:05:48,CALL,ITM,-310.0,SPX,6035/6040,6027.2,-0.03,"[6000.0, 6055.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,134,100,23.0,6021.37,6010.0,2025-02-05
185.0,-0.35,-21.48,VERTICAL,02/05/2025,11:10:38,CALL,ITM,-315.0,SPX,6040/6045,6032.66,-0.03,"[6000.0, 6055.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,119,115,21.22,6021.95,6015.0,2025-02-05
210.0,-0.44,-26.48,VERTICAL,02/05/2025,11:15:42,CALL,ITM,-290.0,SPX,6035/6040,6030.4,-0.03,"[6000.0, 6055.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,103,130,21.83,6022.56,6015.0,2025-02-05
200.0,-0.52,-31.48,VERTICAL,02/05/2025,11:20:47,CALL,ITM,-300.0,SPX,6030/6035,6023.74,-0.03,"[6000.0, 5995.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,88,139,23.0,6022.55,6005.0,2025-02-05
195.0,-0.52,-31.48,VERTICAL,02/05/2025,11:25:49,CALL,ITM,-305.0,SPX,6030/6035,6023.39,-0.03,"[6000.0, 5995.0]","[6000.0, 5900.0]","[6050.0, 6030.0]",DOWN,FLAT,95,136,22.27,6022.36,6005.0,2025-02-05
220.0,-0.44,-26.48,VERTICAL,02/05/2025,11:30:39,CALL,ITM,-280.0,SPX,6035/6040,6031.31,-0.03,"[6000.0, 6055.0]","[6000.0, 6100.0]","[6030.0, 6050.0]",DOWN,FLAT,97,135,20.45,6022.67,6015.0,2025-02-05
190.0,-0.35,-21.48,VERTICAL,02/05/2025,11:35:42,CALL,ITM,-310.0,SPX,6040/6045,6034.59,-0.02,"[6000.0, 6055.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,86,144,19.74,6023.39,6015.0,2025-02-05
205.0,-0.35,-21.48,VERTICAL,02/05/2025,11:40:44,CALL,ITM,-295.0,SPX,6040/6045,6035.65,-0.02,"[6055.0, 6000.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,81,146,18.95,6024.28,6020.0,2025-02-05
225.0,-0.35,-21.48,VERTICAL,02/05/2025,11:45:46,CALL,ITM,-275.0,SPX,6040/6045,6038.41,-0.02,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,76,151,17.8,6025.16,6020.0,2025-02-05
225.0,-0.27,-16.48,VERTICAL,02/05/2025,11:50:47,CALL,ITM,-275.0,SPX,6045/6050,6042.89,-0.01,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",DOWN,FLAT,69,156,17.8,6026.25,6025.0,2025-02-05
140.0,-0.35,-21.48,VERTICAL,02/05/2025,11:55:40,PUT,OTM,140.0,SPX,6040/6035,6047.45,0.0,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,FLAT,60,166,18.17,6027.97,6030.0,2025-02-05
125.0,-0.35,-21.48,VERTICAL,02/05/2025,12:00:46,PUT,OTM,125.0,SPX,6040/6035,6048.67,0.01,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,FLAT,52,170,17.38,6029.58,6030.0,2025-02-05
120.0,-0.35,-21.48,VERTICAL,02/05/2025,12:05:50,PUT,OTM,120.0,SPX,6040/6035,6049.14,0.02,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,FLAT,44,178,17.22,6031.16,6030.0,2025-02-05
140.0,-0.27,-16.48,VERTICAL,02/05/2025,12:10:23,PUT,OTM,140.0,SPX,6045/6040,6050.4,0.03,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,FLAT,40,183,17.12,6032.52,6035.0,2025-02-05
125.0,-0.35,-21.48,VERTICAL,02/05/2025,12:15:49,PUT,OTM,125.0,SPX,6040/6035,6047.83,0.03,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,FLAT,36,191,16.7,6033.78,6030.0,2025-02-05
140.0,-0.35,-21.48,VERTICAL,02/05/2025,12:20:40,PUT,OTM,140.0,SPX,6040/6035,6045.63,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,FLAT,27,202,16.7,6034.69,6030.0,2025-02-05
130.0,-0.35,-21.48,VERTICAL,02/05/2025,12:25:43,PUT,OTM,130.0,SPX,6040/6035,6046.37,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,3,222,16.49,6035.38,6030.0,2025-02-05
140.0,-0.35,-21.48,VERTICAL,02/05/2025,12:30:46,PUT,OTM,140.0,SPX,6040/6035,6045.03,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,228,16.12,6036.09,6030.0,2025-02-05
140.0,-0.35,-21.48,VERTICAL,02/05/2025,12:35:40,PUT,OTM,140.0,SPX,6040/6035,6045.17,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,235,16.12,6036.63,6030.0,2025-02-05
150.0,-0.35,-21.48,VERTICAL,02/05/2025,12:40:45,PUT,OTM,150.0,SPX,6040/6035,6044.65,0.03,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,238,16.01,6037.15,6025.0,2025-02-05
130.0,-0.35,-21.48,VERTICAL,02/05/2025,12:45:49,PUT,OTM,130.0,SPX,6040/6035,6046.45,0.03,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,235,15.7,6037.57,6030.0,2025-02-05
160.0,-0.27,-16.48,VERTICAL,02/05/2025,12:50:42,PUT,OTM,160.0,SPX,6045/6040,6047.38,0.03,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,236,15.75,6038.11,6030.0,2025-02-05
170.0,-0.27,-16.48,VERTICAL,02/05/2025,12:55:45,PUT,OTM,170.0,SPX,6045/6040,6046.9,0.03,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,236,15.44,6038.54,6030.0,2025-02-05
170.0,-0.27,-16.48,VERTICAL,02/05/2025,13:00:50,PUT,OTM,170.0,SPX,6045/6040,6046.6,0.03,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,240,14.96,6038.93,6030.0,2025-02-05
155.0,-0.27,-16.48,VERTICAL,02/05/2025,13:05:44,PUT,OTM,155.0,SPX,6045/6040,6048.31,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,236,14.23,6039.4,6030.0,2025-02-05
135.0,-0.35,-21.48,VERTICAL,02/05/2025,13:10:50,PUT,OTM,135.0,SPX,6040/6035,6044.88,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,240,14.86,6039.74,6025.0,2025-02-05
160.0,-0.27,-16.48,VERTICAL,02/05/2025,13:15:41,PUT,OTM,160.0,SPX,6045/6040,6047.11,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,236,14.54,6039.98,6030.0,2025-02-05
160.0,-0.27,-16.48,VERTICAL,02/05/2025,13:20:46,PUT,OTM,160.0,SPX,6045/6040,6047.1,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,236,14.18,6040.31,6030.0,2025-02-05
175.0,-0.27,-16.48,VERTICAL,02/05/2025,13:25:49,PUT,OTM,175.0,SPX,6045/6040,6045.48,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,240,13.97,6040.57,6030.0,2025-02-05
170.0,-0.27,-16.48,VERTICAL,02/05/2025,13:30:50,PUT,OTM,170.0,SPX,6045/6040,6045.62,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,240,13.44,6040.72,6030.0,2025-02-05
155.0,-0.27,-16.48,VERTICAL,02/05/2025,13:35:42,PUT,OTM,155.0,SPX,6045/6040,6048.0,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6030.0]",UP,UP,0,236,12.86,6040.95,6030.0,2025-02-05
150.0,-0.19,-11.48,VERTICAL,02/05/2025,13:40:44,PUT,OTM,150.0,SPX,6050/6045,6052.79,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,12.65,6041.36,6035.0,2025-02-05
190.0,-0.19,-11.48,VERTICAL,02/05/2025,13:45:47,PUT,OTM,190.0,SPX,6050/6045,6050.03,0.04,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,236,12.81,6041.78,6035.0,2025-02-05
185.0,-0.19,-11.48,VERTICAL,02/05/2025,13:50:50,PUT,OTM,185.0,SPX,6050/6045,6050.5,0.05,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,12.28,6042.17,6035.0,2025-02-05
235.0,-0.19,-11.48,VERTICAL,02/05/2025,13:55:42,PUT,OTM,235.0,SPX,6050/6045,6047.79,0.05,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,12.23,6042.46,6030.0,2025-02-05
205.0,-0.19,-11.48,VERTICAL,02/05/2025,14:00:46,PUT,OTM,205.0,SPX,6050/6045,6049.68,0.05,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,236,11.44,6042.72,6030.0,2025-02-05
245.0,-0.11,-6.48,VERTICAL,02/05/2025,14:05:50,PUT,OTM,245.0,SPX,6055/6050,6051.5,0.06,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,11.13,6043.02,6035.0,2025-02-05
265.0,-0.02,-1.48,VERTICAL,02/05/2025,14:10:40,PUT,OTM,265.0,SPX,6060/6055,6055.65,0.06,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,236,10.82,6043.52,6040.0,2025-02-05
220.0,-0.11,-6.48,VERTICAL,02/05/2025,14:15:42,PUT,OTM,220.0,SPX,6055/6050,6052.89,0.07,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,236,10.18,6043.97,6035.0,2025-02-05
210.0,-0.11,-6.48,VERTICAL,02/05/2025,14:20:43,PUT,OTM,210.0,SPX,6055/6050,6053.75,0.07,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,9.87,6044.41,6035.0,2025-02-05
310.0,-0.02,-1.48,VERTICAL,02/05/2025,14:25:46,PUT,OTM,310.0,SPX,6060/6055,6053.52,0.07,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,236,9.61,6044.82,6035.0,2025-02-05
230.0,-0.11,-6.48,VERTICAL,02/05/2025,14:30:49,PUT,OTM,230.0,SPX,6055/6050,6052.73,0.08,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,9.35,6045.1,6035.0,2025-02-05
260.0,-0.11,-6.48,VERTICAL,02/05/2025,14:35:40,PUT,OTM,260.0,SPX,6055/6050,6051.04,0.08,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,9.29,6045.35,6035.0,2025-02-05
335.0,-0.02,-1.48,VERTICAL,02/05/2025,14:40:44,PUT,OTM,335.0,SPX,6060/6055,6052.86,0.08,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,8.72,6045.59,6035.0,2025-02-05
290.0,-0.11,-6.48,VERTICAL,02/05/2025,14:45:47,PUT,OTM,290.0,SPX,6055/6050,6050.19,0.08,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,8.56,6045.83,6035.0,2025-02-05
275.0,-0.11,-6.48,VERTICAL,02/05/2025,14:50:48,PUT,OTM,275.0,SPX,6055/6050,6050.55,0.08,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,8.56,6046.01,6035.0,2025-02-05
305.0,-0.11,-6.48,VERTICAL,02/05/2025,14:55:40,PUT,OTM,305.0,SPX,6055/6050,6049.0,0.08,"[6055.0, 6060.0]","[6000.0, 6100.0]","[6050.0, 6060.0]",UP,UP,0,240,7.93,6046.14,6030.0,2025-02-05
