file,variant,total,count,win_rate,avg_win,avg_loss,expectancy,profit_factor,max_dd,max_losing_streak,span_start,span_end
agresivo_iron_condor_rut_data.csv,size_1,93232.4,17833,0.5513934839903549,173.3852639072511,-204.26678073510772,5.228082767902204,1.0578485018815016,155896.70000000147,98,2025-02-05,2026-03-13
agresivo_iron_condor_rut_data.csv,size_2,186464.8,17833,0.5513934839903549,346.7705278145022,-408.53356147021543,10.456165535804407,1.0578485018815016,311793.40000000293,98,2025-02-05,2026-03-13
agresivo_iron_condor_rut_data.csv,weekday_mix,214172.1,17833,0.5513934839903549,277.95183565544596,-319.255804816223,12.009874950933662,1.0850250878518457,178119.69999999995,98,2025-02-05,2026-03-13
agresivo_iron_condor_rut_data.csv,equity_ladder,182269.1,17833,0.5513934839903549,345.0000610190176,-406.8588719898606,10.220888240901699,1.0567795903980433,311793.40000000293,98,2025-02-05,2026-03-13
agresivo_vertical_rut_data.csv,size_1,5621.499999999998,17842,0.593150992041251,172.43788150807902,-251.1095376121463,0.315071180360946,1.0030899440583534,177103.0,88,2025-02-05,2026-03-13
agresivo_vertical_rut_data.csv,size_2,11242.999999999996,17842,0.593150992041251,344.87576301615803,-502.2190752242926,0.630142360721892,1.0030899440583534,354206.0,88,2025-02-05,2026-03-13
agresivo_vertical_rut_data.csv,weekday_mix,-25228.2,17842,0.593150992041251,271.07479920627424,-399.44966183574877,-1.4139782535590182,0.9912826232143825,300786.0,88,2025-02-05,2026-03-13
agresivo_vertical_rut_data.csv,equity_ladder,-2162.2000000000025,17842,0.593150992041251,331.98680903335537,-485.24204278812977,-0.12118596569891282,0.9993849661048682,334744.0,88,2025-02-05,2026-03-13
conservador_iron_condor_rut_data.csv,size_1,184651.6,17827,0.8597071857295114,61.31337596241681,-302.49887820512816,10.35797385987547,1.2445596058048531,62376.5,67,2025-02-05,2026-03-13
conservador_iron_condor_rut_data.csv,size_2,369303.2,17827,0.8597071857295114,122.62675192483363,-604.9977564102563,20.71594771975094,1.2445596058048531,124753.0,67,2025-02-05,2026-03-13
conservador_iron_condor_rut_data.csv,weekday_mix,307683.2,17827,0.8597071857295114,97.41638392274567,-474.88794070512824,17.25939305547765,1.259578107284588,125721.80000000002,67,2025-02-05,2026-03-13
conservador_iron_condor_rut_data.csv,equity_ladder,364521.7,17827,0.8597071857295114,119.31767584496933,-586.5949519230769,20.447730969877153,1.2489662539331936,100188.80000000115,67,2025-02-05,2026-03-13
conservador_vertical_rut_data.csv,size_1,126248.3,17712,0.8549006323396567,61.83455289922071,-317.41790752351096,7.1278398825654925,1.155852382042848,88863.0,65,2025-02-05,2026-03-13
conservador_vertical_rut_data.csv,size_2,252496.6,17712,0.8549006323396567,123.66910579844142,-634.8358150470219,14.255679765130985,1.155852382042848,177726.0,65,2025-02-05,2026-03-13
conservador_vertical_rut_data.csv,weekday_mix,204722.2,17712,0.8549006323396567,97.74222031435741,-499.7219827586207,11.558389792231257,1.1605298557465926,132636.0,65,2025-02-05,2026-03-13
conservador_vertical_rut_data.csv,equity_ladder,248481.5,17712,0.8549006323396567,123.15466913221503,-633.3567789968652,14.028991644083108,1.1537322440732116,177726.0,65,2025-02-05,2026-03-13
intermedio_iron_condor_rut_data.csv,size_1,122772.7,17776,0.7206345634563457,116.57018735362999,-276.1973800886739,6.9066550405040505,1.0895829773174792,136724.79999999976,94,2025-02-05,2026-03-13
intermedio_iron_condor_rut_data.csv,size_2,245545.4,17776,0.7206345634563457,233.14037470725998,-552.3947601773478,13.813310081008101,1.0895829773174792,273449.5999999995,94,2025-02-05,2026-03-13
intermedio_iron_condor_rut_data.csv,weekday_mix,247871.6,17776,0.7206345634563457,185.73000780640123,-429.5303909713825,13.944171917191719,1.116299035466027,206834.60000000152,94,2025-02-05,2026-03-13
intermedio_iron_condor_rut_data.csv,equity_ladder,240244.9,17776,0.7206345634563457,229.73434035909446,-544.6698911729142,13.51512713771377,1.0888922806191843,273449.5999999998,94,2025-02-05,2026-03-13
intermedio_vertical_rut_data.csv,size_1,59807.0,17842,0.7299630086313194,112.29218366093366,-292.10462307371927,3.352034525277435,1.0426374704994645,154382.0,65,2025-02-05,2026-03-13
intermedio_vertical_rut_data.csv,size_2,119614.0,17842,0.7299630086313194,224.58436732186732,-584.2092461474385,6.70406905055487,1.0426374704994645,308764.0,65,2025-02-05,2026-03-13
intermedio_vertical_rut_data.csv,weekday_mix,76571.40000000001,17842,0.7299630086313194,177.38777641277642,-465.16597251145356,4.291637708777043,1.0342796590630816,271075.09999999905,65,2025-02-05,2026-03-13
intermedio_vertical_rut_data.csv,equity_ladder,114185.7,17842,0.7299630086313194,223.59818796068794,-582.6649521032903,6.399826252662257,1.04081038268957,308764.0,65,2025-02-05,2026-03-13
ultra_agresivo_iron_condor_rut_data.csv,size_1,804962.0,17835,0.5410148584244463,201.4552907036999,-145.13573340129986,45.13383795906925,1.7068013568768126,45607.3,63,2025-02-05,2026-03-13
ultra_agresivo_iron_condor_rut_data.csv,size_2,1609924.0,17835,0.5410148584244463,402.9105814073998,-290.2714668025997,90.2676759181385,1.7068013568768126,91214.6,63,2025-02-05,2026-03-13
ultra_agresivo_iron_condor_rut_data.csv,weekday_mix,1304535.4,17835,0.5410148584244463,321.1220126437973,-228.61869504269146,73.14468180543874,1.7271775701601402,75291.29999999996,63,2025-02-05,2026-03-13
ultra_agresivo_iron_condor_rut_data.csv,equity_ladder,1605909.7,17835,0.5410148584244463,401.5939786506373,-289.1640881865681,90.04259601906364,1.707738974715022,91214.6,63,2025-02-05,2026-03-13
ultra_agresivo_vertical_rut_data.csv,size_1,-9638.800000000003,17842,0.46328886896087884,213.46277522380836,-186.63182200715337,-0.5402309158166126,0.9945670030264546,149778.0,92,2025-02-05,2026-03-13
ultra_agresivo_vertical_rut_data.csv,size_2,-19277.600000000006,17842,0.46328886896087884,426.92555044761673,-373.26364401430675,-1.0804618316332253,0.9945670030264546,299556.0,92,2025-02-05,2026-03-13
ultra_agresivo_vertical_rut_data.csv,weekday_mix,-63023.0,17842,0.46328886896087884,332.56892088071623,-295.8171365453398,-3.532283376303105,0.97758813830981,257893.0,92,2025-02-05,2026-03-13
ultra_agresivo_vertical_rut_data.csv,equity_ladder,-17725.700000000004,17842,0.46328886896087884,364.4156907815146,-318.7445613296865,-0.9934816724582448,0.99414990657712,263694.0,92,2025-02-05,2026-03-13
agresivo_iron_condor_spx_data.csv,size_1,265099.5,17742,0.6916356667793935,146.3896585445359,-280.5511176255038,14.941917483936422,1.1731264302059496,110738.0,118,2025-02-04,2026-03-13
agresivo_iron_condor_spx_data.csv,size_2,530199.0,17742,0.6916356667793935,292.7793170890718,-561.1022352510076,29.883834967872843,1.1731264302059496,221476.0,118,2025-02-04,2026-03-13
agresivo_iron_condor_spx_data.csv,weekday_mix,490064.0,17742,0.6916356667793935,233.74826827479424,-435.73854891901794,27.621688648404916,1.2060598058833745,202320.0,118,2025-02-04,2026-03-13
agresivo_iron_condor_spx_data.csv,equity_ladder,520945.5,17742,0.6916356667793935,280.5362643631326,-535.2720776841334,29.36227595536016,1.1783134777675282,151224.0,118,2025-02-04,2026-03-13
agresivo_vertical_spx_data.csv,size_1,157530.5,17873,0.7156604934817882,133.28625596122274,-304.95348837209303,8.813881273429194,1.1018076898717406,149224.0,106,2025-02-04,2026-03-13
agresivo_vertical_spx_data.csv,size_2,315061.0,17873,0.7156604934817882,266.57251192244547,-609.9069767441861,17.62776254685839,1.1018076898717406,298448.0,106,2025-02-04,2026-03-13
agresivo_vertical_spx_data.csv,weekday_mix,304024.0,17873,0.7156604934817882,211.53905089516067,-473.3488372093023,17.01023890784983,1.1265832060661878,241937.0,106,2025-02-04,2026-03-13
agresivo_vertical_spx_data.csv,equity_ladder,303718.0,17873,0.7156604934817882,262.0785708701431,-600.813756405203,16.99311811111733,1.0996277220915398,298448.0,106,2025-02-04,2026-03-13
conservador_iron_condor_spx_data.csv,size_1,128027.0,17492,0.8569631831694489,68.44743162108072,-359.2,7.319174479762177,1.1425690423162584,99080.0,102,2025-02-04,2026-03-13
conservador_iron_condor_spx_data.csv,size_2,256054.0,17492,0.8569631831694489,136.89486324216145,-718.4,14.638348959524354,1.1425690423162584,198160.0,102,2025-02-04,2026-03-13
conservador_iron_condor_spx_data.csv,weekday_mix,205398.0,17492,0.8569631831694489,107.8371581054036,-564.4324,11.742396524125315,1.1455607438552429,189022.0,102,2025-02-04,2026-03-13
