file,variant,total,count,win_rate,avg_win,avg_loss,expectancy,profit_factor,max_dd,max_losing_streak,span_start,span_end,dd_profit_ratio,risk_score
agresivo_iron_condor_rut_data.csv,weekday_mix,214172.1,17833,0.5513934839903549,277.95183565544596,-319.255804816223,12.009874950933662,1.0850250878518457,178119.69999999995,98,2025-02-05,2026-03-13,0.8316662160944397,1.202405461046701
agresivo_iron_condor_spx_data.csv,equity_ladder,520945.5,17742,0.6916356667793935,280.5362643631326,-535.2720776841334,29.36227595536016,1.1783134777675282,151224.0,118,2025-02-04,2026-03-13,0.29028756367028796,3.444859942866212
agresivo_iron_condor_xsp_data.csv,equity_ladder,147165.0,17670,0.5603848330503679,65.35730155524136,-68.3344266776001,8.328522920203735,1.2943282340305955,18996.0,172,2025-02-05,2026-03-13,0.12907960452553258,7.747157296272899
agresivo_vertical_rut_data.csv,size_2,11242.999999999996,17842,0.593150992041251,344.87576301615803,-502.2190752242926,0.630142360721892,1.0030899440583534,354206.0,88,2025-02-05,2026-03-13,31.50458062794629,0.03174141601215111
agresivo_vertical_spx_data.csv,weekday_mix,304024.0,17873,0.7156604934817882,211.53905089516067,-473.3488372093023,17.01023890784983,1.1265832060661878,241937.0,106,2025-02-04,2026-03-13,0.7957825697971213,1.2566246584854734
agresivo_vertical_xsp_data.csv,weekday_mix,61751.0,17833,0.5888521280771604,54.15884201504618,-70.42241978052508,3.462737621263949,1.121803811263366,48938.0,132,2025-02-05,2026-03-13,0.7925053845281858,1.2618210797335403
conservador_iron_condor_rut_data.csv,equity_ladder,364521.7,17827,0.8597071857295114,119.31767584496932,-586.5949519230769,20.447730969877153,1.2489662539331936,100188.80000000117,67,2025-02-05,2026-03-13,0.2748500295044195,3.6383477993547757
conservador_iron_condor_spx_data.csv,equity_ladder,241708.0,17492,0.8569631831694489,119.0290860573716,-617.0152,13.818202606906016,1.1566950052446034,146582.0,102,2025-02-04,2026-03-13,0.6064424843199232,1.6489609911175998
conservador_iron_condor_xsp_data.csv,equity_ladder,50863.0,17799,0.8697117815607618,19.170478036175712,-106.4945864010394,2.8576324512613067,1.2068476103718646,20764.0,83,2025-02-05,2026-03-13,0.40823388317637577,2.4495761895588517
conservador_vertical_rut_data.csv,weekday_mix,204722.2,17712,0.8549006323396567,97.7422203143574,-499.7219827586207,11.558389792231257,1.1605298557465926,132636.0,65,2025-02-05,2026-03-13,0.6478828383047857,1.5434889471938238
conservador_vertical_spx_data.csv,weekday_mix,229638.0,17873,0.8510043081743411,112.61170282708744,-560.3271628258406,12.848318693000616,1.1548275132046824,137849.0,65,2025-02-04,2026-03-13,0.6002882798143164,1.6658662739664416
