variant,total,count,win_rate,avg_win,avg_loss,expectancy,profit_factor,max_dd,max_losing_streak,dd_profit_ratio
size_2,14990.0,273,0.7619047619047619,275.71153846153845,-651.6615384615385,54.908424908424905,1.3538882855658907,3924.0,4,0.2617745163442295
weekday_mix,14537.0,273,0.7619047619047619,221.5,-485.15384615384613,53.24908424908425,1.4609798636435707,3102.0,4,0.21338653092109788
equity_ladder,10021.0,273,0.7619047619047619,179.66346153846155,-420.75384615384615,36.70695970695971,1.366411934622838,2497.0,4,0.2491767288693743
size_1,7495.0,273,0.7619047619047619,137.85576923076923,-325.83076923076925,27.454212454212453,1.3538882855658907,1962.0,4,0.2617745163442295
