file,symbol_dir,slot,long_total,long_count,long_win_rate,long_avg_win,long_avg_loss,long_expectancy,long_profit_factor,long_max_dd,long_max_losing_streak,long_dd_profit_ratio,med_total,med_count,med_win_rate,med_avg_win,med_avg_loss,med_expectancy,med_profit_factor,med_max_dd,med_max_losing_streak,med_dd_profit_ratio,short_total,short_count,short_win_rate,short_avg_win,short_avg_loss,short_expectancy,short_profit_factor,short_max_dd,short_max_losing_streak,short_dd_profit_ratio,month_pos,month_neg,month_zero,month_pos_ratio,weekday_exp_std,weekday_exp_min,weekday_exp_max,med_vs_long_expectancy_delta,short_vs_med_expectancy_delta,score_raw,robust_score,label,action
agresivo_iron_condor_rut_data.csv,rut,10:05,-3103.9,276,0.5978260869565217,158.7478787878788,-263.9396396396396,-11.246014492753623,0.8940550835742543,6542.5,6,inf,1469.0,60,0.6833333333333333,156.02439024390245,-259.36842105263156,24.483333333333334,1.2980925324675325,1234.0,5,0.8400272294077604,1183.0,20,0.8,143.5,-278.25,59.15,2.0628930817610063,720.0,2,0.6086221470836856,7,7,0,0.5,18.463026712733313,-26.029824561403508,12.237735849056602,35.72934782608696,34.666666666666664,0.49930769230769234,49.930769230769236,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:10,-2901.2,275,0.6036363636363636,157.39518072289155,-266.3192660550459,-10.549818181818182,0.9000578735600506,6599.700000000001,6,inf,1443.0,60,0.6666666666666666,156.1,-240.05,24.05,1.300562382836909,1250.0,5,0.8662508662508662,1195.0,20,0.8,143.0,-273.25,59.75,2.093321134492223,687.0,2,0.5748953974895398,7,7,0,0.5,23.061133459428035,-38.398275862068964,23.929090909090906,34.59981818181818,35.7,0.5106153846153847,51.06153846153847,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:15,-3799.6,275,0.5963636363636363,159.00975609756097,-269.16396396396397,-13.816727272727272,0.8728261015088428,6762.5,6,inf,1559.0,60,0.7,155.11904761904762,-275.3333333333333,25.983333333333334,1.3145682001614205,1070.0,4,0.686337395766517,729.0,20,0.75,140.06666666666666,-274.4,36.45,1.53134110787172,838.0,2,1.149519890260631,7,7,0,0.5,20.828108439552935,-38.974137931034484,17.19107142857143,39.800060606060605,10.466666666666669,0.453,45.300000000000004,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:20,-3185.1,276,0.605072463768116,163.4299401197605,-279.6137614678899,-11.540217391304347,0.8954947683403384,6750.0,6,inf,1621.0,60,0.7,162.78571428571428,-289.77777777777777,27.016666666666666,1.3107745398773005,1215.0,4,0.7495373226403454,392.0,20,0.7,157.85714285714286,-303.0,19.6,1.2156215621562156,980.0,2,2.5,7,7,0,0.5,35.28147086006136,-58.83275862068966,38.885714285714286,38.55688405797101,-7.416666666666664,0.42453846153846153,42.45384615384615,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:25,-4729.9,276,0.5833333333333334,168.72608695652175,-277.34608695652173,-17.13731884057971,0.851703098937758,7358.5,5,inf,824.0,60,0.65,165.23076923076923,-267.6190476190476,13.733333333333333,1.1466192170818506,1240.0,4,1.5048543689320388,750.0,20,0.7,155.21428571428572,-237.16666666666666,37.5,1.5270555165144062,892.0,2,1.1893333333333334,6,8,0,0.42857142857142855,24.95591649321288,-48.5,18.907142857142862,30.870652173913044,23.766666666666666,0.37823076923076926,37.823076923076925,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:30,-7026.2,275,0.5709090909090909,167.115923566879,-281.89322033898304,-25.549818181818182,0.7887708412248898,8935.099999999999,6,inf,-802.0,60,0.6,164.25,-279.7916666666667,-13.366666666666667,0.8805658972449739,2076.0,6,inf,-670.0,20,0.6,158.66666666666666,-321.75,-33.5,0.7397047397047397,1603.0,3,inf,7,7,0,0.5,31.95100615899972,-74.69649122807017,12.987499999999999,12.183151515151515,-20.133333333333333,0.20861538461538465,20.861538461538466,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:35,-5566.2,276,0.5833333333333334,167.04596273291926,-282.26608695652175,-20.167391304347824,0.8285244265355539,8418.7,5,inf,-245.0,60,0.6166666666666667,171.0810810810811,-285.8695652173913,-4.083333333333333,0.9627376425855513,1756.0,4,inf,-162.0,20,0.65,157.76923076923077,-316.14285714285717,-8.1,0.9267962042476277,1041.0,2,inf,7,7,0,0.5,27.77267737933693,-58.96896551724138,8.907692307692308,16.08405797101449,-4.016666666666667,0.2963846153846154,29.63846153846154,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:40,-3925.8,276,0.5833333333333334,167.68447204968945,-268.89565217391305,-14.223913043478262,0.873045952850629,6093.3,5,inf,-532.0,60,0.5833333333333334,178.8,-271.6,-8.866666666666667,0.9216494845360824,1833.0,5,inf,106.0,20,0.65,162.46153846153845,-286.57142857142856,5.3,1.0528414755732802,800.0,2,7.547169811320755,7,7,0,0.5,29.393524106653913,-55.234482758620686,9.025,5.357246376811595,14.166666666666668,0.3105384615384615,31.05384615384615,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:45,-3044.2,276,0.5905797101449275,169.21656441717792,-271.03097345132744,-11.029710144927536,0.9006024194733319,6029.9,5,inf,-329.0,60,0.6,170.97222222222223,-270.1666666666667,-5.483333333333333,0.9492597162245527,1625.0,3,inf,205.0,20,0.65,160.30769230769232,-268.42857142857144,10.25,1.1091005854177753,688.0,2,3.3560975609756096,6,8,0,0.42857142857142855,36.92310601029114,-53.436206896551724,28.551785714285717,5.546376811594203,15.733333333333334,0.32053846153846155,32.05384615384615,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:50,-5658.4,276,0.5579710144927537,167.76363636363635,-258.1475409836066,-20.50144927536232,0.820334031879088,8424.199999999999,7,inf,-740.0,60,0.5833333333333334,163.68571428571428,-258.76,-12.333333333333334,0.8856082856701191,2278.0,5,inf,389.0,20,0.65,153.92307692307693,-230.28571428571428,19.45,1.2413151364764268,680.0,2,1.7480719794344473,6,8,0,0.42857142857142855,33.34708676045349,-54.56140350877193,17.153846153846153,8.168115942028985,31.78333333333333,0.2399230769230769,23.99230769230769,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,10:55,-3705.7,276,0.5760869565217391,171.4314465408805,-264.64358974358976,-13.426449275362318,0.8803196041765574,5928.2,5,inf,46.0,60,0.6166666666666667,169.13513513513513,-270.0869565217391,0.7666666666666667,1.007405022537025,1270.0,5,27.608695652173914,-5.0,20,0.65,166.07692307692307,-309.14285714285717,-0.25,0.9976894639556377,887.0,2,inf,7,7,0,0.5,26.054332074491466,-43.0719298245614,22.025000000000002,14.193115942028985,-1.0166666666666666,0.330923076923077,33.0923076923077,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,11:00,-304.3,275,0.5927272727272728,171.1680981595092,-251.82767857142858,-1.1065454545454545,0.9892110180218191,5367.699999999999,7,inf,-359.0,60,0.5833333333333334,166.02857142857144,-246.8,-5.983333333333333,0.9418152350081037,1751.0,5,inf,18.0,20,0.65,163.3846153846154,-300.85714285714283,0.9,1.0085470085470085,885.0,2,49.166666666666664,7,7,0,0.5,42.27271277709059,-56.37894736842105,50.68214285714286,-4.876787878787879,6.883333333333334,0.3605384615384616,36.05384615384616,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,11:05,-2508.8,276,0.5797101449275363,173.47125,-260.898275862069,-9.089855072463768,0.9171033762663477,5447.5,5,inf,-119.0,60,0.6,178.27777777777777,-272.375,-1.9833333333333334,0.9817959308551323,1692.0,5,inf,553.0,20,0.7,170.42857142857142,-305.5,27.65,1.3016912165848336,833.0,2,1.5063291139240507,7,7,0,0.5,39.130728451807144,-50.88070175438596,45.658928571428575,7.106521739130435,29.633333333333333,0.35592307692307695,35.59230769230769,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,11:10,-459.5,276,0.5978260869565217,172.77454545454546,-263.3390909090909,-1.664855072463768,0.9841372858360979,4524.7,5,inf,557.0,60,0.6333333333333333,169.81578947368422,-268.0,9.283333333333333,1.094470827679783,1778.0,3,3.192100538599641,1010.0,20,0.7,161.35714285714286,-208.16666666666666,50.5,1.8086469175340272,370.0,2,0.36633663366336633,8,6,0,0.5714285714285714,39.37261701052185,-35.286206896551725,55.158928571428575,10.9481884057971,41.21666666666667,0.4603846153846154,46.03846153846154,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,11:15,-464.7,276,0.5869565217391305,174.71481481481482,-252.35526315789474,-1.683695652173913,0.9838469158975963,3694.7,5,inf,43.0,60,0.6,166.02777777777777,-247.25,0.7166666666666667,1.0072463768115942,1750.0,5,40.69767441860465,989.0,20,0.7,160.28571428571428,-209.16666666666666,49.45,1.7880478087649403,630.0,2,0.6370070778564206,7,7,0,0.5,41.757760904608155,-37.54827586206897,55.510714285714286,2.4003623188405796,48.733333333333334,0.4043846153846154,40.43846153846154,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,11:20,-394.2,276,0.572463768115942,183.39177215189875,-248.89915254237286,-1.4282608695652173,0.9865781866592216,3026.1000000000004,7,inf,-378.0,60,0.55,171.66666666666666,-223.8148148148148,-6.3,0.9374482872745326,2150.0,7,inf,607.0,20,0.7,157.14285714285714,-265.5,30.35,1.3810420590081607,931.0,2,1.5337726523887973,6,8,0,0.42857142857142855,45.916435280587535,-37.93962264150943,62.13928571428572,-4.871739130434783,36.65,0.3532307692307693,35.32307692307693,RED,REPLACE
agresivo_iron_condor_rut_data.csv,rut,11:25,2017.7,276,0.5978260869565217,179.64666666666668,-248.86486486486487,7.310507246376812,1.0730415580654504,3105.1,7,1.5389304653813747,1505.0,60,0.6166666666666667,177.16216216216216,-219.56521739130434,25.083333333333332,1.298019801980198,1189.0,7,0.7900332225913621,1038.0,20,0.75,162.06666666666666,-278.6,51.9,1.7451543431442929,655.0,2,0.6310211946050096,7,7,0,0.5,38.412408571789356,-44.5245283018868,62.728571428571435,17.77282608695652,26.816666666666666,0.634,63.4,YELLOW,WATCH
