variant,total,count,win_rate,avg_win,avg_loss,expectancy,profit_factor,max_dd,max_losing_streak,dd_profit_ratio
size_2,14196.0,273,0.7472527472527473,275.27450980392155,-608.1159420289855,52.0,1.3383222116301239,4494.0,4,0.3165680473372781
weekday_mix,13837.0,273,0.7472527472527473,221.39705882352942,-454.0289855072464,50.684981684981686,1.4416815628192032,3717.0,4,0.26862759268627595
equity_ladder,10144.0,273,0.7472527472527473,168.30392156862746,-350.57971014492756,37.15750915750916,1.419346837536172,2247.0,4,0.2215102523659306
size_1,7098.0,273,0.7472527472527473,137.63725490196077,-304.05797101449275,26.0,1.3383222116301239,2247.0,4,0.3165680473372781
