variant,total,count,win_rate,avg_win,avg_loss,expectancy,profit_factor,max_dd,max_losing_streak,dd_profit_ratio
size_2,6260.0,60,0.8,287.75,-629.3333333333334,104.33333333333333,1.8289194915254237,1448.0,2,0.23130990415335465
weekday_mix,5865.0,60,0.8,232.8125,-442.5,97.75,2.1045197740112993,756.0,2,0.1289002557544757
size_1,3130.0,60,0.8,143.875,-314.6666666666667,52.166666666666664,1.8289194915254237,724.0,2,0.23130990415335465
equity_ladder,3130.0,60,0.8,143.875,-314.6666666666667,52.166666666666664,1.8289194915254237,724.0,2,0.23130990415335465
